,산업분류,ID,지역,행정구역,인구 수,확진자 수,총사업체수,총종사자수,인구 대비 확진자 수,인구 대비 산업체 수,인구 대비 산업체 종사자 수,종사자수 대비 산업체 수
0,"예술, 스포츠 및 여가관련 서비스업(90~91)",서울 종로,서울,종로구,157967,27,909,6227,0.017092177480106604,0.5754366418302557,3.9419625618008824,14.597719608158021
1,"예술, 스포츠 및 여가관련 서비스업(90~91)",서울 중구,서울,중구,129797,18,558,3723,0.013867808963227195,0.429902077860043,2.868325153894158,14.987912973408541
2,"예술, 스포츠 및 여가관련 서비스업(90~91)",서울 용산,서울,용산구,226938,53,408,2831,0.023354396354951575,0.1797847870343442,1.2474772845446773,14.411868597668667
3,"예술, 스포츠 및 여가관련 서비스업(90~91)",서울 성동,서울,성동구,306796,57,581,2157,0.01857912097941303,0.18937665419366614,0.7030730517998931,26.935558646267964
4,"예술, 스포츠 및 여가관련 서비스업(90~91)",서울 광진,서울,광진구,362304,22,1033,3862,0.006072248719307543,0.2851196785020314,1.0659556615438968,26.7477990678405
5,"예술, 스포츠 및 여가관련 서비스업(90~91)",서울 동대문,서울,동대문구,358141,43,776,2462,0.012006444389221006,0.21667443827989535,0.6874387461921422,31.51909017059301
6,"예술, 스포츠 및 여가관련 서비스업(90~91)",서울 중랑,서울,중랑구,391668,44,940,2484,0.011234004309772562,0.23999918298150477,0.6342106069426147,37.84219001610306
7,"예술, 스포츠 및 여가관련 서비스업(90~91)",서울 성북,서울,성북구,438734,40,756,2306,0.009117141593767522,0.17231397612220617,0.5256032128806977,32.78404163052905
8,"예술, 스포츠 및 여가관련 서비스업(90~91)",서울 강북,서울,강북구,309138,25,741,2037,0.008087003215392479,0.23969877530423306,0.6589290219901791,36.37702503681885
9,"예술, 스포츠 및 여가관련 서비스업(90~91)",서울 도봉,서울,도봉구,328243,64,622,1907,0.019497750142424972,0.18949375919669267,0.5809720237750691,32.61667540639748
10,"예술, 스포츠 및 여가관련 서비스업(90~91)",서울 노원,서울,노원구,534096,54,934,3078,0.010110541925047182,0.174874928851742,0.5763008897276894,30.34437946718648
11,"예술, 스포츠 및 여가관련 서비스업(90~91)",서울 은평,서울,은평구,462552,61,810,2277,0.01318770646327332,0.17511544647953095,0.49226897732579256,35.573122529644266
12,"예술, 스포츠 및 여가관련 서비스업(90~91)",서울 서대문,서울,서대문구,318874,41,572,1844,0.012857743183828095,0.17938119758901636,0.5782848397799758,31.019522776572668
13,"예술, 스포츠 및 여가관련 서비스업(90~91)",서울 마포,서울,마포구,368181,48,1061,4794,0.013037066008294834,0.28817347989168374,1.3020769675784465,22.13183145598665
14,"예술, 스포츠 및 여가관련 서비스업(90~91)",서울 양천,서울,양천구,445591,70,931,3104,0.01570947348577507,0.20893599736080845,0.6966029385692261,29.993556701030926
15,"예술, 스포츠 및 여가관련 서비스업(90~91)",서울 강서,서울,강서구,578539,99,1227,3851,0.017112070232084612,0.2120859613612911,0.6656422471086652,31.861854063879512
16,"예술, 스포츠 및 여가관련 서비스업(90~91)",서울 구로,서울,구로구,433765,89,916,2617,0.02051802243150093,0.2111742533399421,0.6033220753172801,35.0019105846389
17,"예술, 스포츠 및 여가관련 서비스업(90~91)",서울 금천,서울,금천구,249344,38,599,1541,0.01523998973305955,0.24023036447638604,0.6180216889117044,38.870863075924724
18,"예술, 스포츠 및 여가관련 서비스업(90~91)",서울 영등포,서울,영등포구,395286,70,1139,4149,0.017708696994075176,0.2881457982321661,1.0496197689773987,27.452398168233312
19,"예술, 스포츠 및 여가관련 서비스업(90~91)",서울 동작,서울,동작구,397980,69,791,2761,0.017337554650987488,0.19875370621639277,0.6937534549474847,28.649040202825066
20,"예술, 스포츠 및 여가관련 서비스업(90~91)",서울 관악,서울,관악구,510303,138,1042,3133,0.02704275695028248,0.2041924111753213,0.6139489675741667,33.25885732524736
21,"예술, 스포츠 및 여가관련 서비스업(90~91)",서울 서초,서울,서초구,409491,61,1321,6478,0.014896542292748801,0.3225956126019864,1.5819639503676517,20.39209632602655
22,"예술, 스포츠 및 여가관련 서비스업(90~91)",서울 강남,서울,강남구,507810,95,1778,9179,0.018707784407554006,0.35013095449085285,1.8075658218625077,19.37030177579257
23,"예술, 스포츠 및 여가관련 서비스업(90~91)",서울 송파,서울,송파구,638167,87,1641,9397,0.013632795177437882,0.25714272282960415,1.472498577958434,17.463020112801956
24,"예술, 스포츠 및 여가관련 서비스업(90~91)",서울 강동,서울,강동구,414231,47,939,2905,0.0113463260837552,0.22668511048183262,0.70129951645338,32.32358003442341
25,"예술, 스포츠 및 여가관련 서비스업(90~91)",부산 중구,부산,중구,42766,0,294,877,0.0,0.6874620025253706,2.0506944769209183,33.52337514253136
26,"예술, 스포츠 및 여가관련 서비스업(90~91)",부산 서구,부산,서구,107028,7,167,624,0.006540344582726016,0.15603393504503496,0.5830250028030048,26.76282051282051
27,"예술, 스포츠 및 여가관련 서비스업(90~91)",부산 동구,부산,동구,84557,1,177,630,0.0011826341994157787,0.20932625329659282,0.7450595456319405,28.095238095238095
28,"예술, 스포츠 및 여가관련 서비스업(90~91)",부산 영도,부산,영도구,120731,0,180,533,0.0,0.14909178255791802,0.4414773339076128,33.771106941838646
29,"예술, 스포츠 및 여가관련 서비스업(90~91)",부산 부산진,부산,부산진구,357723,14,782,2950,0.003913642678832504,0.21860489820335846,0.8246604216111348,26.508474576271183
30,"예술, 스포츠 및 여가관련 서비스업(90~91)",부산 동래,부산,동래구,258386,39,635,1950,0.015093697026928704,0.2457563490281981,0.7546848513464351,32.56410256410256
31,"예술, 스포츠 및 여가관련 서비스업(90~91)",부산 남구,부산,남구,282645,7,491,1760,0.0024766049284438074,0.17371614569512994,0.6226892391515859,27.897727272727273
32,"예술, 스포츠 및 여가관련 서비스업(90~91)",부산 북구,부산,북구,291675,11,591,1468,0.00377132081940516,0.20262278220622268,0.5032999057169795,40.25885558583106
33,"예술, 스포츠 및 여가관련 서비스업(90~91)",부산 해운대,부산,해운대구,396311,22,808,3485,0.005551195904226731,0.20388028593705448,0.8793598966468255,23.185078909612624
34,"예술, 스포츠 및 여가관련 서비스업(90~91)",부산 사하,부산,사하구,326655,12,625,1559,0.003673600587776094,0.19133336394667155,0.47726194302857755,40.089801154586276
35,"예술, 스포츠 및 여가관련 서비스업(90~91)",부산 금정,부산,금정구,247971,7,622,2266,0.0028229107435950172,0.2508357832165858,0.913816534998044,27.449249779346868
36,"예술, 스포츠 및 여가관련 서비스업(90~91)",부산 강서,부산,강서구,121351,5,266,1724,0.004120279190117922,0.21919885291427346,1.4206722647526597,15.4292343387471
37,"예술, 스포츠 및 여가관련 서비스업(90~91)",부산 연제,부산,연제구,199887,5,418,1169,0.0025014132985136605,0.20911815175574197,0.5848304291924937,35.75705731394354
38,"예술, 스포츠 및 여가관련 서비스업(90~91)",부산 수영,부산,수영구,170296,11,382,960,0.006459341382064171,0.22431530981350123,0.5637243387983276,39.791666666666664
39,"예술, 스포츠 및 여가관련 서비스업(90~91)",부산 사상,부산,사상구,226961,5,553,1238,0.0022030216645150488,0.2436541960953644,0.5454681641339261,44.66882067851373
40,"예술, 스포츠 및 여가관련 서비스업(90~91)",부산 기장,부산,기장군,160335,3,270,1507,0.0018710824211806531,0.16839741790625876,0.9399070695730813,17.9163901791639
41,"예술, 스포츠 및 여가관련 서비스업(90~91)",대구 중구,대구,중구,76935,250,401,1284,0.3249496328069149,0.5212192110222915,1.6689413140963152,31.230529595015575
42,"예술, 스포츠 및 여가관련 서비스업(90~91)",대구 동구,대구,동구,342396,686,741,1922,0.20035280785990492,0.21641607962709844,0.5613383333917452,38.55359001040583
43,"예술, 스포츠 및 여가관련 서비스업(90~91)",대구 서구,대구,서구,183857,545,426,829,0.29642602674904955,0.23170181173411947,0.45089390123846246,51.38721351025332
44,"예술, 스포츠 및 여가관련 서비스업(90~91)",대구 남구,대구,남구,150132,1365,469,1095,0.9091999040844058,0.3123917619161804,0.7293581648149629,42.8310502283105
45,"예술, 스포츠 및 여가관련 서비스업(90~91)",대구 북구,대구,북구,444759,810,979,3146,0.18212110378879348,0.22011921062867756,0.7073493734809189,31.11888111888112
