,청원시작일,청원종료일,참여인원,카테고리,제목,청원내용
21,2017-08-19,2017-09-18,11293,육아/교육,기간제 교사의 정규직화를 반대합니다.,"대통령님, 안녕하세요. 저는 임용을 준비하고 수험생입니다. 처음 기간제 정규직화 된다고 했을 때, 공채 채용과정이 있는데, 설마 그러겠어라고 생각하고 있었습니다. 그리고 기간제는 그 채용과정이 공개채용에 비해 불투명하고, 아이들을 가르칠 수 있는 전문성이 떨어지는데, 어떻게 된다는 거지? 그런 생각이라 사실 그냥 뜬 소문이라고 생각했습니다.\n수년간 임용을 준비하는 수험생으로서, 여러 기회비용을 포기하고, 오로지 교단에서 서서 아이들에게 내가 알고 있는 지식을 제대로 가르치겠다는 신념으로 공부해왔습니다. 그런데 오늘 보니 기간제가 정규직화되는 것이 거의 확정적으로 되는 것같아, 사실 너무 상대적 허탈감을 느낍니다. 기간제 선생님들은 임용고시를 일단 보류해두고 현장에 나아간 것이고, 임용 준비생은 일단 임용고시 합격을 목표로 그 한해 기회비용까지 써가면서 공부하는 것이니까요. 그래서 전문적인 지식을 더 갖추고 있는 임용수험생들이 현장에 일하지 않았다는 이유로 기간제 교사에게 기회까지 박탈당하면서 자리를 내주어야 하나 의구심이 듭니다. 존경하는 대통령님 기간제 정규직화 다시 한번 생각해주시기 바랍니다. 양질의 아이들에게 교육을 제공하기 위해서라도, 기간제 정규직화는 안됩니다. 똑같은 기회의 평등을 제공해주십시오. 전문적인 지식을 갖추고 열심히 노력한 임고생이 단지 현장을 경험하지 않았다는 이유만으로 역차별을 당하는 일은 없어야 합니다. 미래의 아이들을 가르칠 인력, 다시 한번 심사숙고해주시길 바랍니다. 나라를 이끌어갈 인재를 양성하는 곳입니다.\n제발, 다시한번 시사숙고 해주시길 바랍니다.\n그리고 사대와 교대를 폐지하고 로스쿨화시킨다고 글을 카페에서 읽었습니다. 제발 사실이 아니길 기도합니다. 현대판 음서제를 시행하는 것이라고 비판하더라군요. 또한 교육개혁에 교사의 지방직화라는 글을 들었습니다. 처음에는 그냥 설마겠거니 했습니다. 그런데 점차그렇게 흘러가는 것 같더군요. 나라의 재정이 어려워, 공무원 연금을 삭감하기 위해 기간제를 무기계약직으로 채용하는 것이라면, 그게 시작이라면 어쩔 수 없다고 생각합니다. 하지만 의원님, 교육의 질을 먼저 생각해주세요. 기간제와 임용고시 준비생은 처음부터 선택이 달랐다는 것을... 기간제는 임용고시를 일단 보류해두고 현장에 나아간 것이고, 임용고시생은 공개전형을 통해 합격하고 현장에 나아가기 위해 기회비용을 써가면 힘들게 공부하고 있다는 것을요..\n제가 종합적으로 살펴봤을 때, 결국 어려운 환경에서 잘하는 아이들은 지금과 같은 임용고시라는 제도를 통해 채용된 교사들로부터 양질의 교육을 제공받을 수 없게 되는 거더군요. 교육은 국가를 키울 미래의 아이들을 양성하는 중요한 부분입니다. 부디 기간제 교사의 무기직 전환을 꼭 막아주십시오. 형평성을 고려하고, 설사 기간제 교사의 무기직 전환은 열심히 노력하는 임용고시생에게 역차별입니다. 꼭 다시 한번 생각해주십시오.\n긴 글 읽어주셔서 감사합니다."
552,2017-08-26,2017-09-02,34318,육아/교육,유아교육법 제 24조 2항에 명시된 '원칙'을 지켜주시기를 바랍니다.,"안녕하십니까. 저는 '나라다운 나라'라는 캐치프레이즈(catch phrase)를 사랑하는 사립유치원 설립자 민중기입니다.\n그 동안 세계적인 청원사이트인 www.change.org가 많이 부러웠었는데, 대통령님께서 이를 능가하는 멋진 소통의 장을 열어주시고 책임 있는 분의 답변까지 주신다고 하시니 정말 대한민국이 '나라다운 나라' 될 수 있겠구나 하는 희망을 품고 아래와 같은 청원을 하는 바 입니다.\n<1> 우선, 유아교육법 조항 일부를 올리겠습니다\n유아교육법\n제 4장 비용\n제 24조(무상교육)\n(1)초등학교 취학직전 3년의 유아교육은 무상으로 실시하되, 무상의 내용 및 범위는 대통령령으로 정한다.[개정 2012.3.21]\n(2)제1항에 따라 무상으로 실시하는 유아교육에 드는 비용은 국가 및 지방자치단체가 부담하되, 유아의 보호자에게 지원하는 것을 원칙으로 한다.[개정 2010.3.24]\n< 이하 생략>\n<2>위의 <1>의 유아교육법조항에서 알 수 있듯이 유아교육에 드는 비용은 유아의 보호자에게 지원하는 것이 원칙이나, 이러한 법에 명시된 원칙 대신 유치원 통장을 일괄 입금되는 변칙적인 상황이 작금의 현실입니다.\n<3> 위<2>의 현실로 인해 일선 사립유치원은 학년초가 되면 대란으로 표현되는 과중한 업무를 지게 되며, 또 이로 인해 불필요한 오해와 갈등이 발생될 수 있는 바, 유아교육법에 명시된 ""원칙""을 지켜주시기 바랍니다.\n<4> 유아교육법 제 24조 2항에 의거한 일선교육공무원의 업무이나, 편의를 위해서 일선 사립유치원에게 그 업무를 떠 넘기고 있다는 오해를 받지 않기 위해서도 교육부는 유치원통장이 아닌 학부모통장으로 입금해주시기 바랍니다.\n<5>혹시, 일선 교육공무원의 업무과중이 그 이유라면, 대다수 사립유치원이 업무를 전담하는 인력이 없이 원장이나 원감이 1인 다역을 하는 상황을 감안하여 주시기 바랍니다. 교육공무원의 업무는 교육부에서 해결해주셔야 합니다.\n<6> 대통령님께서  '나라다운 나라'를 만들고자 하시는 감사한 마음으로 현장을 누비시는 모습을 늘 티비와 신문 그리고 인터넷 등을 통해보고 있습니다. 건강 유의하셔서 꼭 그 큰 뜻을 이루시길 기원합니다. 우리 모두 응원합니다!"
871,2017-08-30,2017-09-14,123204,외교/통일/국방,남성만의 실질적 독박 국방의무 이행에서 벗어나 여성도 의무 이행에 동참하도록 법률개정이 되어야 합니다.,"우리나라에선 아주 나중엔 모병으로 방향을 잡을지는 모르겠으나 지금 현 상황은 주적 북한과 대적하고 있고 중일러 강대국에 둘러쌓여 있기 때문에 불가피하게 징병을 유지할 수 밖에 없는데 그 징병의 근간은 남성에게만 부과되었는데 문제는  근 30년 넘게 저출산이 심각하여 병역자원이 크게 부족해졌고 이 때문에 지금은 군 신검에서 95퍼에 가까운 인원들이 현역으로 징집되어야하는 문제가 발생하여 공익 가야할 사람이 현역 끌려가고, 면제여야 할 사람이 현역 혹은 공익으로 끌려가야하는 상황이 벌어지고 있는데도 정부에서는 부족한 병사 대신 간부를 증원하면 된단 식으로 간단히 말합니다만 병사가 단순히 훈련만 하는것도 아니고 주야간 경계근무, 야간불침번근무, 대민지원, 부대내외 작업 등 할게 넘쳐나는데 그런것들을 간부들이 대신 맡아 할 수 있습니까? 한번 행정병으로 복무했던 전역한 예비역들이나 민방위 군필남성들에게 물어보시면 간부들이 할 일도 병사에게 떠넘겨서 대신했다는 이야기 엄청 쏟아져나올겁니다. 이러한 판국인데 단순히 예를 들어 간부(장교, 부사관)든 병이든 합쳐서 60만이고 지금 간부가 15만, 병이 45만인데 병 45만 못 채우겠으니 그냥 병은 35만까지만 채우고 나머지는 간부 10만 늘려서 25만 뽑으면 되겠지 하는 계획은 옳지 못합니다. 잉여자원만 늘어나는거지  병들이 해야할 일을 도울 인원이 늘어난 것은 아니고 오히려 심각하게 부족해지다보니 신체, 정신적 스트레스 및 체력소모가 기하급수적으로 증가하여 이로 인한 큰 문제가 발생할 우려가 크단 것이죠.\n그리고 다른 이유로는 우리 현역병 및 예비역들에 대한 보상 혜택 또한 없다시피 하고 군 가산 이런 것들마저도 과거 이화여대 수천명 및 페미 단체에서 형평을 이유로 여러번 폐지청원운동하고 이화여대 공무원 준비학생 5명이 연대 장애인 학생 1명 같이 동참시켜 여성과 장애인과의 형평성을 이유로 군 가산점 폐지시키겠다고 헌법재판소에 헌법소원을 제기해 폐지시켜버렸는데 그럼 여성들이 장애인들과 동급이라는 걸 스스로 인정하시는 건가요?  아니잖아요.  여성들도 남성들과 동일 혹은 더 뛰어난 능력을 지니고 있다고들 이야기하시며 남녀평등 주장들하셨잖아요? 그러면 여성들도 남성들과 같이 병으로 의무복무하고 국가에서 현역병과 예비역들에게 보상 혜택을 늘려주면 의무를 한 자라면 남녀차별없이 동일하게 혜택 보상을 받을진대 그런 방안이 맞지 않을까요? 병역법, 예비군법, 민방위법의 법률을 개정해 여성들도 남성들과 동일하게 현역, 예비역, 민방위로 의무이행할 수 있게 해야한다는 점을 이야기하고 싶습니다. 물론 이게 단기간 내에 곧장 이루어질거라곤 보진 않지만 하루라도 빨리 정부 차원에서 계획을 세워서 진행해나가야 한다는 입장입니다.\n여성의 징병이 여성의 신체차이 운운되며  통과되지 않는다면 지금 시행되고 있는 여성간부모집, 경찰모집도 중단되어야 하고 사회에 나가서 기업에서도 여성은 신체적으로 약해 제약을 크게 받으니 남녀간 취업차별이 이루어져도 순리상 할 말이 없어지게 되는 겁니다\n밑의 링크는 오늘의 유머 사이트에서 여성징병 관련하여 많은 추천을 받은 글들에 대한 링크들이니 참조 바랍니다.>\n1. 여성징병 혹은 남성 복무일수 증가는 필수가 될거에요\n(http://todayhumor.com/?bestofbest_359029)\n2. 모병제는 되고 여성징병은 안된다는 분 와보세요\n(http://todayhumor.com/?bestofbest_351111)\n3. 여성징병에 반대하는 의견을 들어보면\n(http://todayhumor.com/?bestofbest_345691)\n4.  ebs까칠남녀 여성징병제에 관한 코멘트를 본 후 든 생각\n(http://todayhumor.com/?bestofbest_334049)\n5. [설명충] 여성징병과 처우개선을 동시에 다루는 글을 보는 느낌.txt\n(http://todayhumor.com/?bestofbest_318765)\n6. 군게와 베오베를 핫하게 달군 여성징병제 이슈가 활활타고 사라진 이유\n(http://todayhumor.com/?bestofbest_316093)\n7. 여성징병제를 하는 것은 폭력의 독점을 깨는 것입니다\n(http://todayhumor.com/?bestofbest_310489)\n8. 여성징병제 없이는 남성들은 여성차별에 신경쓸 필요 없습니다\n(http://todayhumor.com/?bestofbest_309749)"
1141,2017-08-31,2017-11-29,34750,인권/성평등,여자 집값 70% 지원정책 폐지,"현재 진행중인 1인가구 여성 임대주택 70%지원 정책 폐지를 요청합니다.\n국가가 나서서 남녀 편가르기를 하는것 같습니다.\n성범죄를 예방하기 위해서는 성범죄 형량강화, 조기교육 등을 통해 본질적인 문제해결을 해야죠.\n객관적인 시선에선 단지 여성이란 이유로 집값 70%지원하는거 밖에 되지 않습니다.\n현 한국남성전용정책이 군복무 밖에 더 있습니까? 페미니즘이 아닌 명백한 역차별입니다."
1491,2017-09-02,2017-10-02,13370,인권/성평등,시골 남성들에 대한 매매혼 지원금 지급 중지를 바랍니다.,"시골 노총각들의 매매혼, 국제결혼이라는 이름으로 좋게 포장되지만 실상은 인신매매와 다른게 무엇인지 모르겠습니다.\n인신매매를 국가적으로 장려하다니요?\n이 는 국가적으로 남성 사이코패스들울 재생산하는 것과 다름 없다고 생각 됩니다. 인간을 사고파는게 쉬워질수록 인권 유린에 대한 심각성이 무감각해질것입니다.\n또한 팔리는 존재가 '여성', 사는 존재는 '남성'으로 한정 되어있기 때문에, 특히나 여성인권에 대한 이해도가 심각한 수준으로 떨어지고 있다고 생각합니다.\n한국 남성들이 성매매에 아주 쉽게 노출되고 접근 할 수 있는 만큼, 매매혼도 아주 어렵지 않게 생각하는 것 같은데,\n둘다 인신매매의 한 종류입니다.\n어떻게 21세기에서 여전히, 이런 인신 매매가 제제되지 않고\n국가적으로 장려 될 수가 있는지요?\n최근 뉴스기사 중, 매매혼을 한 농촌 남성이 베트남 신부를 때려 죽인 사건이 발생했습니다. 그 여성의 남겨진 일기장에 따르면, 그분은 결혼 하여 한국에 온 순간부터 남편이라는 작자에게 폭행을 당해왔다고 합니다.\n더 큰 문제는 이런 형태의 사건이 한 두번이 아니라 아주 빈번히 일어나고 있다는 것입니다. 남편의 신체적 언어적 폭행은 다반사이고, 낯선 땅에 온 그들에겐 신고조차 쉽지 않을것 입니다. 언어도 잘 통하지 않을 뿐더러, 우리나라 대다수의 농촌이란 곳은 폐쇄적인 분위기를 갖고, 그 피해 여성들의 일거수일투족을 감시할 수 있기 때문입니다. 따라서 그들이 만일 신고를 위해 경찰서를 찾으려 한다면, 그전에 남편의 귀에 들어가기 쉽습니다.\n이런 문제들은 왜 발생하게 될까요?\n외국에서 '사 온' 신부를 자신이 산 '물건'따위로 인식하기 때문입니다. 여성을 인격체가 아닌 소유 할 수 있는 물건따위로 생각 하기 때문입니다.\n여성도 인간입니다.\n동물을 폭행 하는 사람들은 말합니다.\n""내가 사와 내가 키운것 내 맘대로 하겠다는데 당신이 무슨 상관이냐.""\n이런 마인드를 여성에게 적용하는 가해자들이 적지 않습니다. 인터넷을 통해 기사를 접한 2차 가해자들도 마찬가지입니다. 첨부한 링크의 기사 댓글중 많은 수의 사람들역시나, 억울하게 맞거나 죽은 피해자들의 인권을 존중하지 않는 발언을 서슴없이 하고있습니다.\n인신매매를 쉽게 생각하게 만들고, 여성의 인권을 존중은 커녕 무시하게 만드는 것은, 지금의 이 정책의 영향도 무시할 수 없다고 생각합니다.\n더불어 매매혼을 장려하거나 긍정적으로 보이게 만드는 미디어 매체들을 규제해 주세요.\n여성의 인권을 존중해 주세요. 외국에서 온 사람들의 권리를 찾아주세요.\n국가적 인신 매매 장려 정책을 멈춰 주세요.\n인격체를 사고 파는 행위를 중단해 주세요."
1583,2017-09-02,2017-12-01,10729,육아/교육,사립유치원 보육료 인상등 집회 반대합니다,전국 사립 유치원단은 무상교육이라는 명분하에 9월 18일 집회를 정당화하고 일부유치원은 강제휴교령 지원금인상불가시 추석전후로 무제한 휴교를 한다고 합니다 국공립 지원금 98만원이라는 말도 안되는 계산을 하며 아이당 국가보조를 98만원으로 상향조정해야한다며 하는 집회는 과연아이들을 위한건지 아이들을 위하는데 휴교까지하는지 심히 의심이 됩니다. 아이와 학부모 상대로 이런 행동을 하는게 정말 그들이 원하는 참교육인지 국가를상대로 돈뜯기인지 의심스러운대목입니다\n지금 이런행대를 더이상 그만하고 본인을 다시돌아보고 사립도 진짜 교육자의 길을 걷길 바랍니다
1752,2017-09-03,2017-11-02,296330,인권/성평등,청소년이란 이유로 보호법을 악용하는 잔인무도한 청소년들이 늘어나고있습니다. 반드시 청소년 보호법은 폐지해야합니다.,"안녕하십니까. 청소년보호법이란 명목하에 나쁜짓을 일삼는 청소년들이 너무나 많아지고 있는 것 같아서 이 글을 쓰게 되었습니다.  최근에 일어난 부산 사하구 여중생 폭행 사건\nhttp://www.yonhapnews.co.kr/bulletin/2017/09/03/0200000000AKR20170903027900051.HTML?input=1195m\n을 보아서라도 더 이상 우리는 청소년을 어리다는 이유로 보호하여서는 안된다고 생각합니다.\n청소년보호법의 본래 취지와는 다르게  청소년들이 자신이 미성년자인걸 악용하여 일반적인 사고방식을 가진 성인보다 더 잔인무도한 행동을 일삼고 있습니다. 부산 사하구 여중생 사건 뿐만 아니라 청소년들이 한 인간이하의 행동들은 이미 수십차례, 아니 수백차례 기사화 된 바 있습니다.\n대전 여중생 자살사건 -\nhttp://news.kmib.co.kr/article/view.asp?arcid=0011715427&code=61121111&cp=nv\n김해 여고생 살인사건 -\nhttp://news.kmib.co.kr/article/view.asp?arcid=0011715427&code=61121111&cp=nv\n울산 남중생 자살사건-\nhttp://news.kmib.co.kr/article/view.asp?arcid=0011715427&code=61121111&cp=nv\n전주 여중생 자살사건-\nhttp://www.kns.tv/news/articleView.html?idxno=347624\n기사화 된 것들은 SNS와 언론에서 이슈화 되어서 그나마 가해자들이 경미한 처벌이라도 받았을거라 생각합니다. 하지만, 우리가 알지 못하는 수많은 학교폭력이나 청소년 범죄는 비일비재하게 일어나고 있습니다. 피해자들은 학교폭력, 집단따돌림, 괴롭힘 등으로 인해 성인이 되어서도 대인관계를 맺는데 어려움을 겪고 평생을 트라우마로 살아갑니다.  이 '트라우마'는 겪어보지 않은 사람들은 절대 이해를 못할겁니다.\n그리고 가해자들은 학교폭력이란 피해자들을 평생 상처로 살아가게 할 대죄를 행하여도 청소년이란 이유로.. 또는 그 수가 너무많아 처벌하기 힘들다는 이유로 고작 '전학', '정학' 정도로 매우 경미한 처분을 받고 빨간줄은 커녕 사회에 나와서 과거의 행동들을 술안주거리로 단지 추억거리로 무용담삼아서 얘기하며 성인이 되어서 과거세탁을 하며 떳떳히 잘 살아가고 있습니다. 피해자는 평생 그 상처로 인해서 일용직을 전전하며 살아가고 있는 경우가 많습니다.\n대표적인 경우는 그나마 가장 잘 알려진 '밀양 성폭행 사건' 이죠.\n밀양 집단 강간사건-\nhttp://www.kns.tv/news/articleView.html?idxno=347624\n학교폭력 뿐만이 아닙니다. 최근에는 청소년들이 무면허로 자동차를 렌트하여 뺑소니 사고를 내는 경우도 많았습니다.\n청소년 무면허 만취운전 -\nhttp://search.naver.com/search.naver?sm=tab_hty.top&where=news&query=%EC%B2%AD%EC%86%8C%EB%85%84+%EB%AC%B4%EB%A9%B4%ED%97%88&oquery=%EB%B0%80%EC%96%91+%EC%84%B1%ED%8F%AD%ED%96%89&tqi=TjX9FspySE4sst%2B5mX0ssssssUG-304117&url=http%3A%2F%2Fwww.gimhaenews.co.kr%2Fnews%2FarticleView.html%3Fidxno%3D18867&ucs=qqozUgPP1ShP\n엄청나게 많은 학생들을 관리하기도.. 일일이 감시하기도 정말 힘든거 잘 알고 있습니다. 그래서 이제는 법이라도\n정말 바뀌어야 한다고 생각합니다.. 경미한 폭행이나 괴롭힘, 왕따여도 더욱 더 구체화하고 세분화하여 징계를 내려야 그나마 줄어들거라고 생각합니다. 시대가 많이 지남으로써 청소년들의 사춘기 연령대는 더욱 더 어려지고 있고 신체발달, 정신적발달등이 빨라지고 있다고 생각합니다. 모든것이 그들을 어리다고 할 수 만은 없는 시대가 왔습니다. 대통령님께 어리고 힘없는 피해자 청소년들의 마음을 생각해서라도 청소년 보호법의 폐지를 공론화 해주시기를 간곡히 바라고 청원합니다. 이제는 바뀌어야 할 때입니다. 그리고 모든 국민여러분! 우리 모두가 노력해서 미래의 우리아이들이 즐겁고 재미있게 학교생활을 할 수 있게 우리가 바꾸어야 한다고 생각합니다!\n부디 이 글을 SNS나 포털사이트에 적극 홍보해주시어 베스트 청원에 갈 수 있기를 기원합니다. 감사합니다."
1765,2017-09-03,2017-11-02,125343,인권/성평등,청소년이란 이유로 보호법을 악용하는 잔인무도한 청소년들이 늘어나고있습니다. 반드시 [소년법]은 폐지해야합니다.,"안녕하십니까. [소년법]이란 명목하에 나쁜짓을 일삼는 청소년들이 너무나 많아지고 있는 것 같아서 이 글을 쓰게 되었습니다. 최근에 일어난 부산 사하구 여중생 폭행 사건\nhttp://www.yonhapnews.co.kr/bulletin/2017/09/03/0200000000AKR20170903027900051.HTML?input=1195m\n을 보아서라도 더 이상 우리는 청소년을 어리다는 이유로 보호하여서는 안된다고 생각합니다.\n청소년보호법의 본래 취지와는 다르게 청소년들이 자신이 미성년자인걸 악용하여 일반적인 사고방식을 가진 성인보다 더 잔인무도한 행동을 일삼고 있습니다. 부산 사하구 여중생 사건 뿐만 아니라 청소년들이 한 인간이하의 행동들은 이미 수십차례, 아니 수백차례 기사화 된 바 있습니다.\n대전 여중생 자살사건 -\nhttp://news.kmib.co.kr/article/view.asp?arcid=0011715427&code=61121111&cp=nv\n김해 여고생 살인사건 -\nhttp://news.kmib.co.kr/article/view.asp?arcid=0011715427&code=61121111&cp=nv\n울산 남중생 자살사건-\nhttp://news.kmib.co.kr/article/view.asp?arcid=0011715427&code=61121111&cp=nv\n전주 여중생 자살사건-\nhttp://www.kns.tv/news/articleView.html?idxno=347624\n기사화 된 것들은 SNS와 언론에서 이슈화 되어서 그나마 가해자들이 경미한 처벌이라도 받았을거라 생각합니다. 하지만, 우리가 알지 못하는 수많은 학교폭력이나 청소년 범죄는 비일비재하게 일어나고 있습니다. 피해자들은 학교폭력, 집단따돌림, 괴롭힘 등으로 인해 성인이 되어서도 대인관계를 맺는데 어려움을 겪고 평생을 트라우마로 살아갑니다. 이 '트라우마'는 겪어보지 않은 사람들은 절대 이해를 못할겁니다.\n그리고 가해자들은 학교폭력이란 피해자들을 평생 상처로 살아가게 할 대죄를 행하여도 청소년이란 이유로.. 또는 그 수가 너무많아 처벌하기 힘들다는 이유로 고작 '전학', '정학' 정도로 매우 경미한 처분을 받고 빨간줄은 커녕 사회에 나와서 과거의 행동들을 술안주거리로 단지 추억거리로 무용담삼아서 얘기하며 성인이 되어서 과거세탁을 하며 떳떳히 잘 살아가고 있습니다. 피해자는 평생 그 상처로 인해서 일용직을 전전하며 살아가고 있는 경우가 많습니다.\n대표적인 경우는 그나마 가장 잘 알려진 '밀양 성폭행 사건' 이죠.\n밀양 집단 강간사건-\nhttp://www.kns.tv/news/articleView.html?idxno=347624\n학교폭력 뿐만이 아닙니다. 최근에는 청소년들이 무면허로 자동차를 렌트하여 뺑소니 사고를 내는 경우도 많았습니다.\n청소년 무면허 만취운전 -\nhttp://search.naver.com/search.naver?sm=tab_hty.top&where=news&query=%EC%B2%AD%EC%86%8C%EB%85%84+%EB%AC%B4%EB%A9%B4%ED%97%88&oquery=%EB%B0%80%EC%96%91+%EC%84%B1%ED%8F%AD%ED%96%89&tqi=TjX9FspySE4sst%2B5mX0ssssssUG-304117&url=http%3A%2F%2Fwww.gimhaenews.co.kr%2Fnews%2FarticleView.html%3Fidxno%3D18867&ucs=qqozUgPP1ShP\n엄청나게 많은 학생들을 관리하기도.. 일일이 감시하기도 정말 힘든거 잘 알고 있습니다. 그래서 이제는 법이라도\n정말 바뀌어야 한다고 생각합니다.. 경미한 폭행이나 괴롭힘, 왕따여도 더욱 더 구체화하고 세분화하여 징계를 내려야 그나마 줄어들거라고 생각합니다. 시대가 많이 지남으로써 청소년들의 사춘기 연령대는 더욱 더 어려지고 있고 신체발달, 정신적발달등이 빨라지고 있다고 생각합니다. 모든것이 그들을 어리다고 할 수 만은 없는 시대가 왔습니다. 대통령님께 어리고 힘없는 피해자 청소년들의 마음을 생각해서라도 [소년법]의 폐지를 공론화 해주시기를 간곡히 바라고 청원합니다. 이제는 바뀌어야 할 때입니다. 그리고 모든 국민여러분! 우리 모두가 노력해서 미래의 우리아이들이 즐겁고 재미있게 학교생활을 할 수 있게 우리가 바꾸어야 한다고 생각합니다!\n부디 이 글을 SNS나 포털사이트에 적극 홍보해주시어 베스트 청원에 갈 수 있기를 기원합니다. 감사합니다.\n원 청원에서 청소년 보호법이라 잘못 명시되어 있어서 소년법으로 수정하였습니다.\n자신이 청소년이라는 이유로 형량을 적게 받을것임을 알고, 이를 악용하여 범죄를 서슴없이 저리르기까지 이르고 있습니다. 사회 정보에 대한 접근이 쉬워진 만큼, 청소년의 사고 발달은 이전과 달리 더욱  상향되었고 이전의 사고 발달 정도를 고려하여 제정된 소년법은 폐지되거나 제고되어야 한다고 여깁니다.\n원 청원 주소 - http://www1.president.go.kr/petitions/1785?navigation=petitions"
8017,2017-09-05,2017-12-04,22392,인권/성평등,출생시 아이가 기본적으로 어머니의 성을 따르게 해주세요,"모든 것을 관습적으로 따르던 시대를 벗어나고 있습니다.\n의무와 그에 따른 권리를 논리적으로 따져 나누고 있는 시대흐름에 발맞춰\n아이 출생시 임신과 출산의 90%이상을 담당하는\n어머니의 성을 기본적으로 따르게 해주십시오.\n현행 법에 따르면 아이는 원칙적으로 아버지의 성과 본을 따르며\n혼인신고시 부부가 합의한 경우에는 예외적으로 어머니의 성과 본을\n따를 수 있게 되어있는데요,\n이는 남성우월주의의 인습일 뿐, 책임의 크기에 따라 권리가 정해지는\n현대의 논리와 전혀 맞지 않습니다.\n아이가 태어날 때까지 거의 모든 과정을 직접적으로 책임지는\n어머니의 성을 따르는 것이 기본이되\n예외적으로 부부합의시 아버지의 성을 따르도록 개정하는 것이\n이치에 부합합니다.\n또한 일부 남성들은 한국여성들은 지조가 없기 때문에\n태어난 아이가 자기 씨인지 알 수 없다며 지속적인 불만을 표시해왔는데요,\n태어나자마자 아버지도 아닌 사람의 성과 본을 따를 가능성을 방치하는 것은\n아이의 심각한 인권침해입니다\n어머니는 100% 누구인지 확실하니 어머니의 성과 본을 따른다면\n아이가 황당하게 제3자의 성을 따를 가능성은 제로가 됩니다.\n의무에 따른 권리라는 합당한 논리와\n아이의 성이 잘못 주어지는 경우 나중에 힘들여 바꿔야하는\n억울한 아이의 인권보호라는 두 가지 측면에서\n출생하는 아이는 기본적으로 어머니의 성과 본을 따르게 하는 법 개정이 시급합니다."
10482,2017-09-06,2017-12-05,20238,일자리,시민 96.7%가 동의한 삼척화력발전소가 조기착공 인허가 승인을 청원합니다,"간절한 마음으로 청원합니다.\n과거 호황기에 20만 명이 넘는 인구의 동해안 대표적인 공업 도시 삼척시는 폐광과 시멘트 산업의 쇠퇴로 인구 7만 명도 채 안 되는 소도시로 전락한 채 날로 심화되는 경기침체의 늪에서 헤어나오지 못하는 위기상황에 봉착해 있습니다. 이를 극복하기 위해 주민 96.7%의 찬성으로 화력발전소 건설을 유치하였으며, 정부가 약속한 국책사업을 믿고 이미 토지매입, 설계, 인허가를 진행으로 6,000억 원이 넘는 비용이 투자되었고, 지역 건설업체들은 앞다퉈 건설장비 및 시설 확충으로 큰 기대를 하고 있습니다. 또한, 발전소 건설로 인한 인구유입을 대비하여 삼척시 관내에는 대규모 신규 아파트 5개 단지 3,000세대가 한창 건설 중입니다. 이러한 상황에서 최근 신정부의 에너지 정책 혼선으로 발전소가 착공되기만을 애타게 기다려온 삼척시민의 희망이 좌초되고 무산되지나 않을까 하는 위기감과 두려움으로 삼척시민 전체가 혼란이 가중되고 있습니다.\n물론, 미세먼지 이슈로 국가의 정책 결정에 깊이 있는 논의가 필요하지만, 지역 특성을 고려한 정책 결정이 필요하다고 생각합니다. 삼척화력발전소 건설부지는 수십 년간 석회석을 채굴하고 남겨진 풀 한 포기조차도 자라지 못하는 곳이며, 바람 부는 날이면 비산먼지를 삼척 시내로 날리는 불모지입니다.\n이러한 부지를 활용하여 발전소가 건설되기 때문에 오히려 삼척 시내의 미세먼지 발생량을 줄이는 효과가 매우 크며, 발전소에서 발생하는 석탄재를 인접한 시멘트 공장에 파이프로 연결하여 100% 재활용함으로써 다른 지역 화력발전소보다 환경에 미치는 영향이 거의 없다고 환경 전문가들도 인정하고 있습니다.\n그저 발전소를 건립해 달라는 것이 아닙니다. 지역경제 활성화뿐만 아니라 시민의 건강을 위해서라도 수년 동안 갈망해 온 화력발전소 건설을 반드시 실행되어야 합니다. 삼척시민의 열망이 분노로 바뀌는 상황으로 전개되어서는 않도록 부디 조속한 착공 인허가 승인이 이루어지길 간곡히 청원 드립니다."
